1file_id	2sample	3DNA_code	4species	5pop	6pop_name	7LONG	8LAT	9server	10path	11sorted
Pa13020102_DNA1145	Pa13020102	1145	PANG	ANG	ANGU	110.69448	32.372422	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2050/C2PVTACXX_6/IX2050_C2PVTACXX_6_CGGAAT.bam	unsorted
Pa13020302_DNA1148	Pa13020302	1148	PANG	ANG	ANGU	116.82667	34.169681	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2051/C2PVTACXX_7/IX2051_C2PVTACXX_7_TCTACC.bam	unsorted
Pang562_DNA769	Pang562	769	PANG	ANG	ANGU	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0974/C14ERACXX_1/IX0974_C14ERACXX_1_CATTTT.bam	unsorted
PangAlberto_F_6_DNA768	PangAlberto_F_6	768	PANG	ANG	ANGU	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0975/C14ERACXX_2/IX0975_C14ERACXX_2_ATTCCT.bam	unsorted
PangAZBR107_DNA766	PangAZBR107	766	PANG	ANG	ANGU	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0976/C14ERACXX_3/IX0976_C14ERACXX_3_ACATCT.bam	unsorted
PangAZBR56_DNA765	PangAZBR56	765	PANG	ANG	ANGU	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0974/C14ERACXX_1/IX0974_C14ERACXX_1_CGTACG.bam	unsorted
PangCoal1_DNA767	PangCoal1	767	PANG	ANG	ANGU	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0977/C14ERACXX_4/IX0977_C14ERACXX_4_AGCATC.bam	unsorted
PangGHE1_DNA764	PangGHE1	764	PANG	ANG	ANGU	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0976/C14ERACXX_3/IX0976_C14ERACXX_3_ACTTGA.bam	unsorted
Raju_Feb_14_2012_DNA611	Raju_Feb_14_2012	611	PANG	#NA	#NA	#NA	#NA	eas	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-20/IX0396/C10F0ACXX_7/IX0396_C10F0ACXX_7_ACTTGA.bam	unsorted
BOY1_DNA644	BOY1	644	PBAL	BOY	Boyle/Amisk_Lake	112.6666667	54.56666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0851/C13N9ACXX_1/IX0851_C13N9ACXX_1_CGATGT.bam	unsorted
