1file_id	2sample	3DNA_code	4species	5pop_code	6pop_name	7LONG	8LAT	9server	10path	11sorted
CSYJ28_4_DNA74	CSYJ28-4	74	PTRI	CSYJ	Cassidy	123.8666667	49.06666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX915/C0LA2ACXX_4/INX915_C0LA2ACXX_4_CCGCAA.bam	unsorted
HALS30_2_DNA75	HALS30-2	75	PTRI	HALS	Halsey	123.3333333	44.41666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX915/C0LA2ACXX_4/INX915_C0LA2ACXX_4_GAAACC.bam	unsorted
JASP30_3_DNA81	JASP30-3	81	PTRI	JASP	Jasper	122.9166667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX916/C0LA2ACXX_5/INX916_C0LA2ACXX_5_GCCTTA.bam	unsorted
JASP30_4_DNA82	JASP30-4	82	PTRI	JASP	Jasper	122.9166667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX916/C0LA2ACXX_5/INX916_C0LA2ACXX_5_TCCCGA.bam	unsorted
JASP30_5_DNA83	JASP30-5	83	PTRI	JASP	Jasper	122.9166667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX917/C0LA2ACXX_6/INX917_C0LA2ACXX_6_TTCGAA.bam	unsorted
JEFF30_2_DNA84	JEFF30-2	84	PTRI	JEFF	Jefferson	123.0833333	44.73333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX917/C0LA2ACXX_6/INX917_C0LA2ACXX_6_GTCCGC.bam	unsorted
KIMB16_2_DNA86	KIMB16-2	86	PTRI	KIMB	Kimball_Cr	121.1666667	52.93333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX918/C0LA2ACXX_7/INX918_C0LA2ACXX_7_GCCAAT.bam	unsorted
KIMB16_3_DNA87	KIMB16-3	87	PTRI	KIMB	Kimball_Cr	121.1666667	52.93333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX918/C0LA2ACXX_7/INX918_C0LA2ACXX_7_AAAGCA.bam	unsorted
KLNE20_1_DNA88	KLNE20-1	88	PTRI	KLNE	Klinaklini	125.5666667	51.73333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX919/C0LA2ACXX_8/INX919_C0LA2ACXX_8_AATAGG.bam	unsorted
KLNE20_2_DNA89	KLNE20-2	89	PTRI	KLNE	Klinaklini	125.5666667	51.73333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX919/C0LA2ACXX_8/INX919_C0LA2ACXX_8_AGAAGA.bam	unsorted
PHLC22_2_DNA7	PHLC22-2	7	PTRI	PHLC	Phillips	125.25	50.68333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX888/C0H62ACXX_1/INX888_C0H62ACXX_1_ATCACG.bam	unsorted
PHLC22_4_DNA11	PHLC22-4	11	PTRI	PHLC	Phillips	125.25	50.68333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX888/C0H62ACXX_1/INX888_C0H62ACXX_1_GATCAG.bam	unsorted
PHLC22_5_DNA21	PHLC22-5	21	PTRI	PHLC	Phillips	125.25	50.68333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX892/C0H62ACXX_5/INX892_C0H62ACXX_5_TAATCG.bam	unsorted
PITS29_2_DNA12	PITS29-2	12	PTRI	PITS	Pittsburg	123.1166667	45.83333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX889/C0H62ACXX_2/INX889_C0H62ACXX_2_AACCCC.bam	unsorted
QCTN16_3_DNA14	QCTN16-3	14	PTRI	QCTN	Cottonwood	122.15	53.03333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX890/C0H62ACXX_3/INX890_C0H62ACXX_3_AGCGCT.bam	unsorted
QCTN16_4_DNA15	QCTN16-4	15	PTRI	QCTN	Cottonwood	122.15	53.03333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX890/C0H62ACXX_3/INX890_C0H62ACXX_3_CAAAAG.bam	unsorted
QLKE16_3_DNA16	QLKE16-3	16	PTRI	QLKE	Quesnel_Lk	122.3166667	52.96666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX891/C0H62ACXX_4/INX891_C0H62ACXX_4_CCAACA.bam	unsorted
SHEL15_2_DNA13	SHEL15-2	13	PTRI	SHEL	Shelley	122.6	54.03333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX889/C0H62ACXX_2/INX889_C0H62ACXX_2_ACCCAG.bam	unsorted
SKNM10_5_DNA19	SKNM10-5	19	PTRI	SKNM	Skeena	128.9833333	54.4	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX891/C0H62ACXX_4/INX891_C0H62ACXX_4_CTAGCT.bam	unsorted
SKNP10_2_DNA20	SKNP10-2	20	PTRI	SKNP	Skeena	128.4666667	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX892/C0H62ACXX_5/INX892_C0H62ACXX_5_GATGCT.bam	unsorted
SKWB24_4_DNA24	SKWB24-4	24	PTRI	SKWB	Skwawka	124	50.23333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-30/INX893/C0H62ACXX_6/INX893_C0H62ACXX_6_AGTTCC.bam	unsorted
SLMD28_5_DNA22	SLMD28-5	22	PTRI	SLMD	Salmon	125.8666667	50.28333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-30/INX893/C0H62ACXX_6/INX893_C0H62ACXX_6_TGAATG.bam	unsorted
STHA21_2_DNA32	STHA21-2	32	PTRI	STHA	Southgate	124.4833333	50.81666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX897/D0RDNACXX_2/INX897_D0RDNACXX_2_CCACGC.bam	unsorted
STHA21_3_DNA33	STHA21-3	33	PTRI	STHA	Southgate	124.4833333	50.81666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX897/D0RDNACXX_2/INX897_D0RDNACXX_2_CTATAC.bam	unsorted
SQMA25_3_DNA29	SQMA25-3	29	PTRI	SQMA	Squamish	123.2333333	49.86666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX896/D0RDNACXX_1/INX896_D0RDNACXX_1_AGGCCG.bam	unsorted
SQMC25_2_DNA31	SQMC25-2	31	PTRI	SQMC	Squamish	123.3666667	50.1	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX896/D0RDNACXX_1/INX896_D0RDNACXX_1_CAACTA.bam	unsorted
STHA21_4_DNA34	STHA21-4	34	PTRI	STHA	Southgate	124.4833333	50.81666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX898/D0RDNACXX_3/INX898_D0RDNACXX_3_GCAAGG.bam	unsorted
STHA21_5_DNA35	STHA21-5	35	PTRI	STHA	Southgate	124.4833333	50.81666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX898/D0RDNACXX_3/INX898_D0RDNACXX_3_TACAGC.bam	unsorted
STHB21_1_DNA36	STHB21-1	36	PTRI	STHB	Southgate	124.7333333	50.88333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX899/D0RDNACXX_4/INX899_D0RDNACXX_4_TGCCAT.bam	unsorted
STHB21_2_DNA37	STHB21-2	37	PTRI	STHB	Southgate	124.7333333	50.88333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX899/D0RDNACXX_4/INX899_D0RDNACXX_4_ATGTCA.bam	unsorted
STHB21_3_DNA38	STHB21-3	38	PTRI	STHB	Southgate	124.7333333	50.88333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX900/D0RDNACXX_5/INX900_D0RDNACXX_5_TTAGGC.bam	unsorted
STHB21_4_DNA39	STHB21-4	39	PTRI	STHB	Southgate	124.7333333	50.88333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX900/D0RDNACXX_5/INX900_D0RDNACXX_5_GGCTAC.bam	unsorted
STHB21_5_DNA40	STHB21-5	40	PTRI	STHB	Southgate	124.7333333	50.88333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX901/D0RDNACXX_6/INX901_D0RDNACXX_6_AAGACT.bam	unsorted
TLKH11_1_DNA41	TLKH11-1	41	PTRI	TLKH	Telkwa	127.1166667	54.66666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX901/D0RDNACXX_6/INX901_D0RDNACXX_6_ACGATA.bam	unsorted
TLKH11_5_DNA43	TLKH11-5	43	PTRI	TLKH	Telkwa	127.1166667	54.66666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX902/D0RDNACXX_7/INX902_D0RDNACXX_7_CACCGG.bam	unsorted
TLKI11_1_DNA42	TLKI11-1	42	PTRI	TLKI	Telkwa	127.5	54.61666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX902/D0RDNACXX_7/INX902_D0RDNACXX_7_ATAATT.bam	unsorted
TNZA4_1_DNA44	TNZA4-1	44	PTRI	TNZA	Tanzilla	130.4666667	58.3	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX903/D0RDNACXX_8/INX903_D0RDNACXX_8_CCCATG.bam	unsorted
TOBA23_2_DNA45	TOBA23-2	45	PTRI	TOBA	Toba	124.2333333	50.51666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX903/D0RDNACXX_8/INX903_D0RDNACXX_8_CTCAGA.bam	unsorted
CAR11_05_DNA776	CAR11_05	776	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0978/C14ERACXX_5/IX0978_C14ERACXX_5_AGGCCG.bam	unsorted
