1file_id	2sample	3DNA_code	4ADM_#	5SPECIES	6POP_CODE	7POPNAME	8POP#	9GROUP	10LONG	11LAT	12server	13path	14plastome
PangGHE1_DNA764	PangGHE1	764	584	PANG	ANGU	ANGU	ANGU	A05	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0976/C14ERACXX_3/IX0976_C14ERACXX_3_ACTTGA.bam	DONE
PangAZBR56_DNA765	PangAZBR56	765	581	PANG	ANGU	ANGU	ANGU	A05	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0974/C14ERACXX_1/IX0974_C14ERACXX_1_CGTACG.bam	DONE
PangAZBR107_DNA766	PangAZBR107	766	580	PANG	ANGU	ANGU	ANGU	A05	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0976/C14ERACXX_3/IX0976_C14ERACXX_3_ACATCT.bam	DONE
PangCoal1_DNA767	PangCoal1	767	583	PANG	ANGU	ANGU	ANGU	A05	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0977/C14ERACXX_4/IX0977_C14ERACXX_4_AGCATC.bam	DONE
PangAlberto_F_6_DNA768	PangAlberto_F_6	768	582	PANG	ANGU	ANGU	ANGU	A05	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0975/C14ERACXX_2/IX0975_C14ERACXX_2_ATTCCT.bam	DONE
Pang562_DNA769	Pang562	769	579	PANG	ANGU	ANGU	ANGU	A05	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0974/C14ERACXX_1/IX0974_C14ERACXX_1_CATTTT.bam	DONE
Pa13020102_DNA1145	Pa13020102	1145	611	PANG	ANGU	ANGU	ANGU	A05	NA	NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2050/C2PVTACXX_6/IX2050_C2PVTACXX_6_CGGAAT.bam	DONE
Pa13020302_DNA1148	Pa13020302	1148	612	PANG	ANGU	ANGU	ANGU	A05	NA	NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2051/C2PVTACXX_7/IX2051_C2PVTACXX_7_TCTACC.bam	DONE
Pdel181_DNA213	Pdel181	213	613	PDEL	DELT	DELT	DELT	A02	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX975/D0U7RACXX_8/INX975_D0U7RACXX_8_AGGTTT.bam	DONE
MO_PD_7_Raju_DNA617	MO_PD_7_Raju	617	539	PDEL	DELT	DELT	DELT	A02	NA	NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-21/IX0397/C10F0ACXX_8/IX0397_C10F0ACXX_8_CATTTT.bam	DONE
WO_Raju_FM_DNA639	WO_Raju_FM	639	869	PDEL	DELT	DELT	DELT	A02	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0977/C14ERACXX_4/IX0977_C14ERACXX_4_GGCACA.bam	DONE
SO535SL_DNA739	SO535SL	739	722	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-24/IX1824/C2NBUACXX_4/IX1824_C2NBUACXX_4_GGCACA.bam	DONE
SO580SL_DNA740	SO580SL	740	727	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-24/IX1824/C2NBUACXX_4/IX1824_C2NBUACXX_4_TCGGCA.bam	DONE
SO585SL_DNA741	SO585SL	741	728	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-24/IX1824/C2NBUACXX_4/IX1824_C2NBUACXX_4_AGGTTT.bam	DONE
SO611SL_DNA742	SO611SL	742	731	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-25/IX0837/D17VVACXX_8/IX0837_D17VVACXX_8_GTGGCC.bam	DONE
SO588SL_DNA743	SO588SL	743	729	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-25/IX0837/D17VVACXX_8/IX0837_D17VVACXX_8_ACTTGA.bam	DONE
SO546SL_DNA744	SO546SL	744	724	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-24/IX1825/C2NBUACXX_5/IX1825_C2NBUACXX_5_CGTACG.bam	DONE
SO539SL_DNA745	SO539SL	745	723	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-24/IX1825/C2NBUACXX_5/IX1825_C2NBUACXX_5_ACATCT.bam	DONE
