ACCESSION	samplename	DNA#	ADM_#	ADM_CODE	POP_CODE	POPNAME	POP#	GROUP	LONG	LAT	server	path	plastome
PHLC22-2_DNA7	PHLC22-2	7	594	PTRI	PHLC	Phillips river/C	22	C03	-125.25	50.683333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX888/C0H62ACXX_1/INX888_C0H62ACXX_1_ATCACG.bam	sorted BAM
PHLC22-4_DNA11	PHLC22-4	11	596	PTRI	PHLC	Phillips river/C	22	C03	-125.25	50.683333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX888/C0H62ACXX_1/INX888_C0H62ACXX_1_GATCAG.bam	sorted BAM
SHEL15-2_DNA13	SHEL15-2	13	660	PTRI	SHEL	Shelley	15	C02	-122.6	54.033333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX889/C0H62ACXX_2/INX889_C0H62ACXX_2_ACCCAG.bam	sorted BAM
QCTN16-3_DNA14	QCTN16-3	14	637	PTRI	QCTN	Cottonwood	16	C02	-122.15	53.033333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX890/C0H62ACXX_3/INX890_C0H62ACXX_3_AGCGCT.bam	sorted BAM
QCTN16-4_DNA15	QCTN16-4	15	638	PTRI	QCTN	Cottonwood	16	C02	-122.15	53.033333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX890/C0H62ACXX_3/INX890_C0H62ACXX_3_CAAAAG.bam	sorted BAM
QLKE16-3_DNA16	QLKE16-3	16	646	PTRI	QLKE	Quesnel lake	16	C02	-122.316667	52.966667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX891/C0H62ACXX_4/INX891_C0H62ACXX_4_CCAACA.bam	sorted BAM
SKNP10-2_DNA20	SKNP10-2	20	686	PTRI	SKNP	Skeena river/P	10	C01	-128.466667	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX892/C0H62ACXX_5/INX892_C0H62ACXX_5_GATGCT.bam	sorted BAM
PHLC22-5_DNA21	PHLC22-5	21	597	PTRI	PHLC	Phillips river/C	22	C03	-125.25	50.683333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX892/C0H62ACXX_5/INX892_C0H62ACXX_5_TAATCG.bam	sorted BAM
SLMD28-5_DNA22	SLMD28-5	22	720	PTRI	SLMD	Slamon river/D	28	C03	-125.866667	50.283333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-30/INX893/C0H62ACXX_6/INX893_C0H62ACXX_6_TGAATG.bam	sorted BAM
SKWB24-4_DNA24	SKWB24-4	24	699	PTRI	SKWB	Skwawka river/B	24	C03	-124	50.233333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-30/INX893/C0H62ACXX_6/INX893_C0H62ACXX_6_AGTTCC.bam	sorted BAM
