1file_id	2sample	3DNA_code	4ADM_#	5SPECIES	6POP_CODE	7POPNAME	8POP#	9GROUP	10LONG	11LAT	12server	13path	14plastome	15Haplogroup
ALAA20_3_DNA366	ALAA20_3	366	3	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0332/D102LACXX_4/IX0332_D102LACXX_4_AACTTG.bam	DONE	HapX
ALSC1_4_DNA406	ALSC1_4	406	6	PTRI	ALSC	Alsek river/C	1	C01	-137.916667	59.616667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-22/IX0352/D10R2ACXX_1/IX0352_D10R2ACXX_1_GATCAG.bam	DONE	HapY
ALSC1_5_DNA407	ALSC1_5	407	7	PTRI	ALSC	Alsek river/C	1	C01	-137.916667	59.616667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-22/IX0352/D10R2ACXX_1/IX0352_D10R2ACXX_1_AACCCC.bam	DONE	HapZ
BULG11_4_DNA751	BULG11_4	751	58	PTRI	BULG	Bulkley river/G	11	C01	-126.8	54.45	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0983/D18W4ACXX_5/IX0983_D18W4ACXX_5_AGCGCT.bam	DONE	HapZ
BULG11_5_DNA464	BULG11_5	464	59	PTRI	BULG	Bulkley river/G	11	C01	-126.8	54.45	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0365/D12N9ACXX_4/IX0365_D12N9ACXX_4_CACTCA.bam	EASTGalaxy	#N/A
CEDA10_4_DNA367	CEDA10_4	367	86	PTRI	CEDA	Cedar river/A	10	C01	-128.916667	54.95	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0332/D102LACXX_4/IX0332_D102LACXX_4_ACCGGC.bam	DONE	HapY
DESD2_2_DNA419	DESD2_2	419	136	PTRI	DESD	Dease river/D	2	C01	-129.1	59.45	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0355/D10R2ACXX_4/IX0355_D10R2ACXX_4_TAGCTT.bam	DONE	HapY
HALS30_1_DNA139	HALS30_1	139	262	PTRI	HALS	"Hasley, Or"	30	C04	-123.333333	44.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX943/D0U8GACXX_7/INX943_D0U8GACXX_7_CTATAC.bam	DONE	HapU
HIXN16_1_DNA371	HIXN16_1	371	296	PTRI	HIXN	Hixon	16	C02	-122.633333	53.4	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0343/C0T20ACXX_7/IX0343_C0T20ACXX_7_GTCCGC.bam	DONE	HapY
HIXN16_5_DNA142	HIXN16_5	142	297	PTRI	HIXN	Hixon	16	C02	-122.633333	53.4	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX945/C0KW2ACXX_1/INX945_C0KW2ACXX_1_TGCCAT.bam	DONE	HapZ
ISKA6_2_DNA373	ISKA6_2	373	665	PTRI	ISKA	Iskut river/A	6	C01	-131.15	56.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_TACAGC.bam	DONE	HapZ
ISKC6_3_DNA374	ISKC6_3	374	332	PTRI	ISKC	Iskut river/C	6	C01	-130.333333	56.933333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_TGCCAT.bam	DONE	HapY
JEFF30_1_DNA459	JEFF30_1	459	338	PTRI	JEFF	"Jefferson, Or"	30	C04	-123.083333	44.733333	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0365/D12N9ACXX_4/IX0365_D12N9ACXX_4_ATCCTA.bam	EASTGalaxy	#N/A
JEFF30_4_DNA202	JEFF30_4	202	341	PTRI	JEFF	"Jefferson, Or"	30	C04	-123.083333	44.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX974/D0U7RACXX_7/INX974_D0U7RACXX_7_GGCACA.bam	DONE	HapU
