ALSC1_5	ALSC1_5_HapZ
KIMB16_1	KIMB16_1_HapZ
KIMB16_5	KIMB16_5_HapZ
MCGR15_6	MCGR15_6_HapZ
ISKA6_2	ISKA6_2_HapZ
BULG11_4	BULG11_4_HapZ
WFSH13_6	WFSH13_6_HapY
QFRS16_4	QFRS16_4_HapY
WLOW15_1	WLOW15_1_HapY
CEDA10_4	CEDA10_4_HapY
KIMB16_4	KIMB16_4_HapY
KIMB16_6	KIMB16_6_HapY
DESD2_2	DESD2_2_HapY
NKND3_2	NKND3_2_HapY
QAUS16_3	QAUS16_3_HapY
SHEL15_1	SHEL15_1_HapY
HIXN16_1	HIXN16_1_HapY
ALSC1_4	ALSC1_4_HapY
TATB1_4	TATB1_4_HapY
STEL14_1	STEL14_1_HapY
MCGR15_4	MCGR15_4_HapY
QBKR16_5	QBKR16_5_HapY
SHEL15_6	SHEL15_6_HapY
MCGR15_7	MCGR15_7_HapY
QLKE16_4	QLKE16_4_HapY
SHEL15_3	SHEL15_3_HapY
QBKR16_4	QBKR16_4_HapY
ISKC6_3	ISKC6_3_HapY
TAKB3_5	TAKB3_5_HapX
ALAA20_3	ALAA20_3_HapX
TATB1_7	TATB1_7_HapX
TAKB3_4	TAKB3_4_HapW
TAKB3_3	TAKB3_3_HapW
QCTN16_1	QCTN16_1_HapV
MCGR15_8	MCGR15_8_HapV
QLKE16_2	QLKE16_2_HapV
QFRS16_3	QFRS16_3_HapV
QAUS16_4	QAUS16_4_HapV
LONG29_4	LONG29_4_HapT
SKNB10_1	SKNB10_1_HapT
TOBB23_4	TOBB23_4_HapT
MCHB19_3	MCHB19_3_HapT
MEMA28_1	MEMA28_1_HapT
TOBA23_4	TOBA23_4_HapT
CARS29_5	CARS29_5_HapT
MCFA20_1	MCFA20_1_HapT
ELAD25_2	ELAD25_2_HapT
CNYH28_1	CNYH28_1_HapT
HOMD21_5	HOMD21_5_HapT
HOMB21_5	HOMB21_5_HapT
SKWC24_4	SKWC24_4_HapT
ALAA20_4	ALAA20_4_HapT
NASH8_5	NASH8_5_HapT
NBON29_1	NBON29_1_HapT
MEMA28_3	MEMA28_3_HapT
HOPF27_4	HOPF27_4_HapT
HOMB21_1	HOMB21_1_HapT
MCFA20_4	MCFA20_4_HapT
SKWF24_2	SKWF24_2_HapT
CARS29_3	CARS29_3_HapT
CARS29_2	CARS29_2_HapT
CSYJ28_2	CSYJ28_2_HapT
CSYJ28_1	CSYJ28_1_HapT
CSYJ28_3	CSYJ28_3_HapT
LNZK28_3	LNZK28_3_HapT
BELA18_1	BELA18_1_HapT
LNZK28_5	LNZK28_5_HapT
MEMA28_4	MEMA28_4_HapT
MEMA28_5	MEMA28_5_HapT
QLKE16_1	QLKE16_1_HapT
PHLA22_4	PHLA22_4_HapT
PHLC22_3	PHLC22_3_HapT
PHLA22_2	PHLA22_2_HapT
PHLA22_5	PHLA22_5_HapT
NPLN30_3	NPLN30_3_HapT
NPLN30_4	NPLN30_4_HapT
LONG29_1	LONG29_1_HapT
PITS29_4	PITS29_4_HapT
BELC18_1	BELC18_1_HapT
CEDA10_2	CEDA10_2_HapT
SKNM10_3	SKNM10_3_HapT
NASD8_2	NASD8_2_HapT
NASH8_4	NASH8_4_HapT
KTSG10_5	KTSG10_5_HapT
NASD8_4	NASD8_4_HapT
CDRE10_1	CDRE10_1_HapT
SKNO10_2	SKNO10_2_HapT
NASC8_5	NASC8_5_HapT
