1file_id	2sample	3DNA_code	4ADM_#	5SPECIES	6POP_CODE	7POPNAME	8POP#	9GROUP	10LONG	11LAT	12server	13path	14plastome	15Haplogroup
ALAA20_1_DNA121	ALAA20_1	121	1	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX935/D0UJNACXX_2/INX935_D0UJNACXX_2_AACCCC.bam	DONE	HapT
ALAA20_2_DNA55	ALAA20_2	55	2	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-30/INX908/D0U8JACXX_5/INX908_D0U8JACXX_5_CACGAT.bam	DONE	HapT
ALAA20_3_DNA366	ALAA20_3	366	3	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0332/D102LACXX_4/IX0332_D102LACXX_4_AACTTG.bam	DONE	HapX
ALAA20_4_DNA205	ALAA20_4	205	4	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX974/D0U7RACXX_7/INX974_D0U7RACXX_7_TCGGCA.bam	DONE	HapT
ALAA20_5_DNA56	ALAA20_5	56	5	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-29/INX909/D0U8JACXX_6/INX909_D0U8JACXX_6_GAGTGG.bam	DONE	HapT
ALSC1_4_DNA406	ALSC1_4	406	6	PTRI	ALSC	Alsek river/C	1	C01	-137.916667	59.616667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-22/IX0352/D10R2ACXX_1/IX0352_D10R2ACXX_1_GATCAG.bam	DONE	HapY
ALSC1_5_DNA407	ALSC1_5	407	7	PTRI	ALSC	Alsek river/C	1	C01	-137.916667	59.616667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-22/IX0352/D10R2ACXX_1/IX0352_D10R2ACXX_1_AACCCC.bam	DONE	HapZ
BELA18_1_DNA57	BELA18_1	57	21	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-29/INX909/D0U8JACXX_6/INX909_D0U8JACXX_6_CTGCTG.bam	DONE	HapT
BELA18_2_DNA125	BELA18_2	125	22	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX936/D0UJNACXX_3/INX936_D0UJNACXX_3_CAAAAG.bam	DONE	HapT
BELA18_3_DNA58	BELA18_3	58	23	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX910/D0U8JACXX_7/INX910_D0U8JACXX_7_GCCGCG.bam	DONE	HapT
BELA18_4_DNA59	BELA18_4	59	24	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX910/D0U8JACXX_7/INX910_D0U8JACXX_7_TCATTC.bam	DONE	HapT
BELA18_5_DNA126	BELA18_5	126	25	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX937/D0UJNACXX_4/INX937_D0UJNACXX_4_CCAACA.bam	DONE	HapT
BELC18_1_DNA127	BELC18_1	127	26	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX937/D0UJNACXX_4/INX937_D0UJNACXX_4_CTAGCT.bam	DONE	HapT
BELC18_2_DNA128	BELC18_2	128	27	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX938/D0UJNACXX_5/INX938_D0UJNACXX_5_GATGCT.bam	DONE	HapT
BELC18_3_DNA191	BELC18_3	191	28	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX968/D0U7RACXX_1/INX968_D0U7RACXX_1_TCGAAG.bam	DONE	HapT
BELC18_4_DNA129	BELC18_4	129	29	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX938/D0UJNACXX_5/INX938_D0UJNACXX_5_TAATCG.bam	DONE	HapT
BELC18_5_DNA130	BELC18_5	130	30	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX939/D0UJNACXX_6/INX939_D0UJNACXX_6_TGAATG.bam	DONE	HapT
BULA11_4_DNA408	BULA11_4	408	51	PTRI	BULA	Bulkley river/A	11	C01	-127.5	55.25	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-22/IX0352/D10R2ACXX_1/IX0352_D10R2ACXX_1_ACCCAG.bam	DONE	HapT
BULB11_1_DNA409	BULB11_1	409	52	PTRI	BULB	Bulkley river/B	11	C01	-127.35	55.116667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0353/D10R2ACXX_2/IX0353_D10R2ACXX_2_AGCGCT.bam	DONE	HapT
BULF11_2_DNA237	BULF11_2	237	53	PTRI	BULF	Bulkley river/F	11	C01	-126.833333	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0329/D102LACXX_1/IX0329_D102LACXX_1_ATCACG.bam	DONE	HapT
BULF11_3_DNA410	BULF11_3	410	54	PTRI	BULF	Bulkley river/F	11	C01	-126.833333	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0353/D10R2ACXX_2/IX0353_D10R2ACXX_2_CAAAAG.bam	DONE	HapT
BULF11_4_DNA589	BULF11_4	589	55	PTRI	BULF	Bulkley river/F	11	C01	-126.833333	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-17/IX0393/C10ERACXX_5/IX0393_C10ERACXX_5_CAGATC.bam	DONE	HapT
BULF11_5_DNA411	BULF11_5	411	56	PTRI	BULF	Bulkley river/F	11	C01	-126.833333	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0353/D10R2ACXX_2/IX0353_D10R2ACXX_2_CCAACA.bam	DONE	HapT
BULG11_2_DNA412	BULG11_2	412	57	PTRI	BULG	Bulkley river/G	11	C01	-126.8	54.45	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0353/D10R2ACXX_2/IX0353_D10R2ACXX_2_CTAGCT.bam	DONE	HapT
